company name,location
Hörauf & Kohler GmbH,Augsburg
Performance GmbH,Bobingen
Fietz GmbH,Burscheid
Inteva Products Europe GmbH,Solingen
PEINER Umformtechnik GmbH,Peine
PARAVAN GmbH,Pfronstetten
Top Tech Rainer Wirtz e.K.,Grafschaft
Schleicher Fahrzeugteile GmbH & Co. KG,München
AET - Auto-Ersatzteile-Großhandel GmbH,Reutlingen
A.+ E. Keller GmbH & Co. KG,Arnsberg
P. C. Turck,Lüdenscheid
element GmbH,Bruckmühl
Gebhardt Werkzeug- u. Maschinenbau GmbH,Baienfurt
Gebr. Binder GmbH Metallwarenfabrik,Neenstetten
Hanwha Advanced Materials Germany GmbH,Dietfurt an der Altmühl
ITW Global Tire Repair Europe GmbH,Owingen
Trucktec Automotive GmbH,St. Ingbert
SCHROTH Safety Products GmbH,Arnsberg
Grohmann Aluworks GmbH & Co. KG,Bisingen
Gebr. Steller,Halver
Lydall Gerhardi GmbH & Co. KG,Meinerzhagen
Kokinetics GmbH,Kriftel
TR Plast GmbH,Neumarkt i.d.OPf.
J & S GmbH Automotive Technology,Wustermark
Werner Gießler GmbH,Elzach
Possehl Electronics Wackersdorf GmbH,Wackersdorf
AVO Carbon Germany GmbH,Frankfurt am Main
OBD Precision GmbH,Gaildorf
RUPF INDUSTRIES GmbH,Königstein im Taunus
FICOSA INTERNATIONAL GmbH,Wolfenbüttel
voestalpine Rotec GmbH & Co. KG,Annweiler am Trifels
Gummi- u. Kunststoffwerk G. Schönek,Nittenau
Weberit Plastics Technologies GmbH,Oberlahr
capricorn AUTOMOTIVE GmbH,Düsseldorf
Ravensberger Schmierstoffvertrieb GmbH,Werther (Westfalen)
Biermann und Kröger,Rendsburg
HONASCO Kunststofftechnik,Bad Salzuflen
RÜSTER GmbH,Deggingen
IZOBLOK GmbH,Ohrdruf
Kunststoff Helmbrechts AG,Helmbrechts
BEDIA Motorentechnik GmbH & Co. KG,Altdorf bei Nürnberg
Suroflex GmbH,Sulzbach-Rosenberg
Peter Wahl GmbH & Co. KG,Kreuzwertheim
Schabmüller Automobiltechnik GmbH,Ingolstadt
Sonplas GmbH Planung Montage,Straubing
W. u. E. Rau GmbH & Co. KG,Eggenfelden
Megatech Industries Deutschland GmbH,Feldkirchen
Walther Flender GmbH,Düsseldorf
WMU Weser Metall Umformtechnik GmbH,Hann. Münden
Alux-Luxar GmbH & Co. KG,Korschenbroich
Novares Löhne GmbH,Löhne
Gerep Maschinenbaugesellschaft mbH,Suderburg
Bleistahl-Produktions GmbH & Co. KG,Wetter (Ruhr)
Heinze Gruppe GmbH,Herford
Litens Automotive GmbH & Co. KG,Gelnhausen
Wagner GmbH & Co. Fahrzeugteilefabrik KG,Fulda
Türk + Hillinger Automotive GmbH,Tuttlingen
Läpple Automotive GmbH,Teublitz
Compact Dynamics GmbH,Starnberg
Fischer Oberflächentechnologie GmbH,Katzenelnbogen
MAO Automotive GmbH & Co. KG,Stuttgart
Lemförder Electronic GmbH,Espelkamp
ETM Engineering,Saalburg-Ebersdorf
KmB Technologie GmbH,Zerbst/Anhalt
Leiber Group GmbH & Co KG,Emmingen-Liptingen
Leibold & Amann GmbH u. Co.KG,Wellendingen
cema-tech GmbH + Co. KG,Dömitz
Hewa Leder GmbH,Rehau
Riachtschieko Automotive GmbH & Co. KG,Remscheid
Groß Präzisionsdrehteile GmbH,Böhmenkirch
McGard Deutschland GmbH,Nordheim
TECHNOMATIK GmbH,Dietramszell
Umformtechnik Crimmitschau GmbH,Crimmitschau
Winter Fahrzeugtechnik GmbH,Eichenzell
Automobilscharniere Hasten GmbH + Co. KG,Remscheid
Hankensbütteler Kunststoffverarbeitung,Hankensbüttel
Hörmann Automotive Wackersdorf GmbH,Wackersdorf
Diewe Wheels GmbH,Kissing
Bond-Laminates GmbH,Brilon
STRÄHLE+HESS GmbH,Althengstett
Stöferle GmbH,Laupheim
Reutter GmbH,Leutenbach
O & K Antriebstechnik GmbH,Hattingen
Druckguß Eberhard Schlicht GmbH & Co. KG,Holzminden
HS Automotive GmbH,Engelbrechtsche Wildnis
Götting KG,Lehrte
Finova Feinschneidtechnik GmbH,Remscheid
S&R Eisenmann GmbH,Hemmingen
Sika Automotive Hamburg GmbH,Hamburg
JKL Kunststoff Lackierung GmbH,Ottendorf-Okrilla
Henrich Holding GmbH,Daaden
HEPU Autoteile GmbH,Kalletal
Harald Berfelde GmbH,Gerlingen
soft trim seating sts GmbH,Dresden
PEKA Spritzguss GmbH,Velbert
Kurt Erxleben GmbH & Co. KG,Wildeshausen
Herbert Richter Metallwaren,Pforzheim
König Automotive GmbH,Appenweier
Hugo Bauer GmbH & Co. KG,Solingen
TuP GmbH,Markneukirchen
MC Syncro Supply GmbH,Köln
Otto Zimmermann Maschinen-,Sinsheim
Hagl GmbH,Attenkirchen
DMOS GmbH,Dresden
EMS Elektromechanische,Bösel
Franz Sauermann GmbH,Hohenwart
Otto Kuhlmann,Hemer
Hörmann Automotive Eislingen GmbH,Ebersbach an der Fils
INFILTEC GmbH Herstellung und Vertrieb,Speyer
Andre Niermann automotive,Steinhagen
Hugo Karrenberg & Sohn GmbH & Co. KG,Velbert
Sonnplast GmbH,Sonneberg
Nikko Presswerk GmbH,Saterland
RUPF ATG Casting GmbH,Bretten
EURAC Lemgo GmbH,Lemgo
Fremach GmbH,Weilmünster
AAM Germany GmbH,Bad Homburg v. d. Höhe
Huber Automotive AG,Mühlhausen im Täle
Halung AG,Döllstädt
paragon semvox GmbH,Saarbrücken
PMA/TOOLS AG,Willich
